image_name,x,y,w,h,category_id,dl_name,dl_name_en,dl_material,dl_material_en,class,image_width,image_height,label 
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,645,859,210,158,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,144,264,203,148,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,566,131,285,450,16550,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,가바펜틴,Gabapentin,K-016551,976,1280,2
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,142,701,287,477,16550,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,가바펜틴,Gabapentin,K-016551,976,1280,2
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,134,123,245,426,31704,낙소졸정 500/20mg,Naxozole Tab. 500/20mg,나프록센|에스오메프라졸스트론튬사수화물,Naproxen| S-omeprazole Strontium Tetrahydrate,K-031705,976,1280,3
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,617,735,254,448,31704,낙소졸정 500/20mg,Naxozole Tab. 500/20mg,나프록센|에스오메프라졸스트론튬사수화물,Naproxen| S-omeprazole Strontium Tetrahydrate,K-031705,976,1280,3
K-001900-010224-016551-033009_0_2_0_2_70_000_200.png,644,854,205,177,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-010224-016551-033009_0_2_0_2_75_000_200.png,138,245,184,165,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,153,253,192,168,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-010224-016551-033009_0_2_0_2_70_000_200.png,509,203,427,307,16550,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,가바펜틴,Gabapentin,K-016551,976,1280,2
K-001900-010224-016551-033009_0_2_0_2_75_000_200.png,4,730,475,316,16550,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,가바펜틴,Gabapentin,K-016551,976,1280,2
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,43,776,466,321,16550,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,가바펜틴,Gabapentin,K-016551,976,1280,2
K-001900-010224-016551-033009_0_2_0_2_70_000_200.png,89,257,365,209,33008,신바로정,Shinbaro Tab.,자오가·우슬·방풍·두충·구척·흑두건조엑스,Acanthopanax·Achyranthes·Ledebouriella etc Dried ext.,K-033009,976,1280,4
K-001900-010224-016551-033009_0_2_0_2_75_000_200.png,523,804,375,194,33008,신바로정,Shinbaro Tab.,자오가·우슬·방풍·두충·구척·흑두건조엑스,Acanthopanax·Achyranthes·Ledebouriella etc Dried ext.,K-033009,976,1280,4
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,550,836,376,199,33008,신바로정,Shinbaro Tab.,자오가·우슬·방풍·두충·구척·흑두건조엑스,Acanthopanax·Achyranthes·Ledebouriella etc Dried ext.,K-033009,976,1280,4
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,173,279,201,141,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,596,854,212,148,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,621,887,208,143,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,140,866,240,240,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,579,158,232,224,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,605,163,238,226,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,628,845,323,306,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,46,113,298,287,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,56,117,301,303,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,674,274,176,173,21025,펠루비정(펠루비프로펜),Pelubi Tab.,펠루비프로펜,Pelubiprofen,K-021026,976,1280,7
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,105,834,182,180,21025,펠루비정(펠루비프로펜),Pelubi Tab.,펠루비프로펜,Pelubiprofen,K-021026,976,1280,7
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,134,872,177,171,21025,펠루비정(펠루비프로펜),Pelubi Tab.,펠루비프로펜,Pelubiprofen,K-021026,976,1280,7
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,630,894,211,133,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,121,854,231,238,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,637,273,308,282,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,143,142,262,459,27925,울트라셋이알서방정,Ultracet ER Tab.,아세트아미노펜|트라마돌염산염,Acetaminophen| Tramadol Hydrochloride,K-027926,976,1280,8
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,685,808,130,209,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-029345_0_2_0_2_75_000_200.png,162,256,128,201,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-029345_0_2_0_2_90_000_200.png,181,265,131,202,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,183,885,241,243,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-029345_0_2_0_2_75_000_200.png,537,141,235,225,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-029345_0_2_0_2_90_000_200.png,566,142,238,228,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,613,249,299,291,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-029345_0_2_0_2_75_000_200.png,57,729,283,292,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-029345_0_2_0_2_90_000_200.png,78,762,306,293,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-029345_0_2_0_2_70_000_200.png,111,283,271,424,29344,비모보정 500/20mg,Vimovo Tab. 500/20mg,나프록센|에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate| Naproxen,K-029345,976,1280,9
K-001900-016548-018110-029345_0_2_0_2_75_000_200.png,591,535,274,440,29344,비모보정 500/20mg,Vimovo Tab. 500/20mg,나프록센|에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate| Naproxen,K-029345,976,1280,9
K-001900-016548-018110-029345_0_2_0_2_90_000_200.png,622,568,269,444,29344,비모보정 500/20mg,Vimovo Tab. 500/20mg,나프록센|에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate| Naproxen,K-029345,976,1280,9
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,643,846,190,190,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,149,240,180,180,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,169,841,244,238,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,549,179,233,226,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,614,224,297,289,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,44,747,313,301,18109,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg,란소프라졸,Lansoprazole,K-018110,976,1280,6
K-001900-016548-018110-029451_0_2_0_2_70_000_200.png,114,215,394,262,29450,레일라정,LAYLA TAB.,당귀·모과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화25%에탄올연조엑스,Angelica·Chaenomeles·Ledebouriella·Dipsacus etc Soft Ext.,K-029451,976,1280,10
K-001900-016548-018110-029451_0_2_0_2_75_000_200.png,464,786,408,269,29450,레일라정,LAYLA TAB.,당귀·모과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화25%에탄올연조엑스,Angelica·Chaenomeles·Ledebouriella·Dipsacus etc Soft Ext.,K-029451,976,1280,10
K-001900-016548-018110-031705_0_2_0_2_70_000_200.png,662,902,209,147,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-031705_0_2_0_2_75_000_200.png,114,224,202,141,1899,보령부스파정 5mg,Buspar Tab. 5mg Boryung,부스피론염산염,Buspirone Hydrochloride,K-001900,976,1280,1
K-001900-016548-018110-031705_0_2_0_2_70_000_200.png,127,851,243,238,16547,가바토파정 100mg,Gabatopa Tab. 100mg,토피라메이트,Topiramate,K-016548,976,1280,5
