epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2523,1.25532,4.59685,1.2917,0.14345,0.66667,0.26782,0.18946,1.22621,3.80877,1.5295,0,0,0
2,43.1026,1.26291,4.46808,1.16783,0.1375,0.66667,0.27337,0.19354,1.21944,3.79972,1.52483,1.29571e-06,1.29571e-06,1.29571e-06
3,70.2064,1.5178,4.34613,1.44922,0.1375,0.66667,0.28171,0.19979,1.20855,3.74129,1.51721,2.58284e-06,2.58284e-06,2.58284e-06
4,96.0223,1.23922,4.39107,1.45064,0.14345,0.66667,0.36462,0.2605,1.19217,3.64178,1.49803,3.86139e-06,3.86139e-06,3.86139e-06
5,119.965,1.74511,4.58324,1.96771,0.12058,0.66667,0.36462,0.26183,1.16605,3.49779,1.47114,5.13136e-06,5.13136e-06,5.13136e-06
6,141.138,1.39023,4.21502,1.42125,0.11592,0.66667,0.37989,0.29431,1.12959,3.3174,1.42542,6.39275e-06,6.39275e-06,6.39275e-06
7,168.797,1.21482,3.91055,1.30659,0.20481,0.83333,0.42114,0.33691,1.08235,3.10259,1.37604,7.64556e-06,7.64556e-06,7.64556e-06
8,193.197,1.3981,3.65353,1.53625,0.17361,0.83333,0.42114,0.33691,1.02524,2.94145,1.32406,8.88979e-06,8.88979e-06,8.88979e-06
9,216.4,1.84742,3.85208,2.11393,0.15575,0.83333,0.43067,0.34453,0.9566,2.80225,1.26829,1.01254e-05,1.01254e-05,1.01254e-05
10,240.85,1.08398,3.54795,1.1986,0.9076,0.25,0.44736,0.35989,0.86682,2.72969,1.20879,1.13525e-05,1.13525e-05,1.13525e-05
11,268.891,0.81409,3.3833,1.04686,0.89698,0.25,0.48347,0.43512,0.75841,2.65231,1.14184,1.2571e-05,1.2571e-05,1.2571e-05
12,296.894,0.85394,3.16781,1.02833,0.14208,0.83333,0.48347,0.43512,0.64636,2.64099,1.07665,1.37809e-05,1.37809e-05,1.37809e-05
13,325.217,1.05809,2.88301,1.48616,0.13472,0.83333,0.48347,0.43512,0.52927,2.67509,1.01869,1.49822e-05,1.49822e-05,1.49822e-05
14,350.291,0.69439,3.2823,1.00424,0.13261,0.83333,0.45583,0.42715,0.44431,2.72979,0.97072,1.6175e-05,1.6175e-05,1.6175e-05
15,375.305,0.64679,2.40372,1.07466,0.19345,1,0.51111,0.48015,0.38726,2.80428,0.9385,1.73592e-05,1.73592e-05,1.73592e-05
16,397.777,0.77242,2.62556,1.11218,0.18834,1,0.64931,0.62031,0.37,2.89009,0.91452,1.85347e-05,1.85347e-05,1.85347e-05
17,420.73,0.61474,2.26609,1.02434,0.17028,1,0.80153,0.76007,0.38285,3.08895,0.90884,1.97018e-05,1.97018e-05,1.97018e-05
18,445.486,0.49454,2.01736,0.97074,0.17028,1,0.80153,0.76007,0.38285,3.08895,0.90884,2.08602e-05,2.08602e-05,2.08602e-05
19,472.776,1.06784,3.57909,1.69442,0.74901,0.5,0.70479,0.6597,0.42379,2.99566,0.91377,2.201e-05,2.201e-05,2.201e-05
20,494.543,0.42694,1.8404,0.97157,0.74901,0.5,0.70479,0.6597,0.42379,2.99566,0.91377,2.31513e-05,2.31513e-05,2.31513e-05
21,521.382,0.67749,2.32032,0.93038,0.76657,0.5,0.80153,0.74269,0.44507,2.71844,0.91318,2.4284e-05,2.4284e-05,2.4284e-05
22,544.489,0.62635,1.52978,0.98396,0.76657,0.5,0.80153,0.74269,0.44507,2.71844,0.91318,2.54081e-05,2.54081e-05,2.54081e-05
