epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2437,1.19363,4.16356,1.25935,0.15972,0.66667,0.23465,0.16644,1.23409,4.23578,1.47684,0,0,0
2,35.3532,1.19947,3.97899,1.15833,0.15179,0.66667,0.23465,0.17747,1.22221,4.23961,1.47499,1.29571e-06,1.29571e-06,1.29571e-06
3,60.4641,1.47637,4.51729,1.40005,0.15179,0.66667,0.24058,0.18161,1.21524,4.21617,1.46897,2.58284e-06,2.58284e-06,2.58284e-06
4,82.5905,1.25821,4.29348,1.37825,0.15179,0.66667,0.26821,0.20096,1.19734,4.17418,1.45673,3.86139e-06,3.86139e-06,3.86139e-06
5,102.178,1.67904,4.50812,1.79367,0.15179,0.66667,0.27377,0.20513,1.18071,4.10527,1.45235,5.13136e-06,5.13136e-06,5.13136e-06
6,128.144,1.33434,4.16587,1.33017,0.14345,0.66667,0.27377,0.20513,1.14962,4.01716,1.42768,6.39275e-06,6.39275e-06,6.39275e-06
7,154.956,1.21756,4.44761,1.40376,0.14345,0.66667,0.28763,0.2185,1.11158,3.91412,1.40387,7.64556e-06,7.64556e-06,7.64556e-06
8,176.443,1.61505,4.35832,1.84716,0.14345,0.66667,0.28763,0.2185,1.06311,3.80668,1.37961,8.88979e-06,8.88979e-06,8.88979e-06
9,200.108,1.6099,3.74476,1.69842,0.14345,0.66667,0.32363,0.2589,0.99709,3.6681,1.34411,1.01254e-05,1.01254e-05,1.01254e-05
10,218.423,1.03593,3.60369,1.13563,0.13194,0.66667,0.34258,0.27407,0.91936,3.52234,1.2928,1.13525e-05,1.13525e-05,1.13525e-05
11,241.422,0.66112,3.90908,0.96197,0.1379,0.66667,0.37036,0.29896,0.83591,3.38072,1.24845,1.2571e-05,1.2571e-05,1.2571e-05
12,261.568,0.95725,3.01271,1.09444,0.63762,0.5,0.41458,0.35654,0.74671,3.20205,1.19531,1.37809e-05,1.37809e-05,1.37809e-05
13,279.115,1.04207,2.98383,1.30661,0.12864,0.66667,0.4975,0.44775,0.654,2.98847,1.14477,1.49822e-05,1.49822e-05,1.49822e-05
14,297.561,0.70247,2.55974,0.99295,0.54307,0.66667,0.58042,0.51408,0.55798,2.78406,1.08725,1.6175e-05,1.6175e-05,1.6175e-05
15,313.825,0.65019,2.5976,1.06976,0.60791,0.66667,0.77389,0.67992,0.48179,2.58475,1.03064,1.73592e-05,1.73592e-05,1.73592e-05
16,334.119,0.64827,2.57793,0.93549,0.63745,0.66667,0.86233,0.7882,0.41174,2.38689,0.98231,1.85347e-05,1.85347e-05,1.85347e-05
17,357.254,0.60497,2.15107,1.02219,0.64803,0.66608,0.86233,0.80486,0.35776,2.23023,0.94677,1.97018e-05,1.97018e-05,1.97018e-05
18,377.76,0.55866,1.97711,0.98412,0.64803,0.66608,0.86233,0.80486,0.35776,2.23023,0.94677,2.08602e-05,2.08602e-05,2.08602e-05
19,397.894,0.81232,2.80744,1.30165,0.75967,0.60968,0.86233,0.83802,0.34792,2.10112,0.92671,2.201e-05,2.201e-05,2.201e-05
20,416.965,0.35987,1.75552,1.00397,0.75967,0.60968,0.86233,0.83802,0.34792,2.10112,0.92671,2.31513e-05,2.31513e-05,2.31513e-05
21,437.488,0.59181,1.79666,0.90874,0.73567,0.64051,0.91208,0.88777,0.3532,1.90947,0.91042,2.4284e-05,2.4284e-05,2.4284e-05
22,454.45,0.54238,1.72693,0.93222,0.73567,0.64051,0.91208,0.88777,0.3532,1.90947,0.91042,2.54081e-05,2.54081e-05,2.54081e-05
23,474.642,0.59965,1.74985,0.96721,0.66536,0.64984,0.82917,0.79966,0.35476,1.71616,0.9013,2.65236e-05,2.65236e-05,2.65236e-05
24,491.829,0.32568,1.64064,0.90923,0.66536,0.64984,0.82917,0.79966,0.35476,1.71616,0.9013,2.76306e-05,2.76306e-05,2.76306e-05
25,510.548,0.61045,1.63236,1.0264,0.44537,1,0.91208,0.89176,0.33932,1.58699,0.89209,2.8729e-05,2.8729e-05,2.8729e-05
26,529.62,0.64191,2.24359,1.15437,0.44537,1,0.91208,0.89176,0.33932,1.58699,0.89209,2.98187e-05,2.98187e-05,2.98187e-05
27,546.318,0.57539,0.97194,0.94868,0.52493,1,0.82917,0.80747,0.32273,1.50016,0.88637,3.09e-05,3.09e-05,3.09e-05
28,562.864,0.47244,1.0955,0.91262,0.52493,1,0.82917,0.80747,0.32273,1.50016,0.88637,3.19726e-05,3.19726e-05,3.19726e-05
29,585.225,0.47187,1.99204,0.95336,0.74071,0.83333,0.82917,0.80668,0.31781,1.47479,0.88245,3.30366e-05,3.30366e-05,3.30366e-05
30,602.533,0.59394,0.9184,1.01155,0.74071,0.83333,0.82917,0.80668,0.31781,1.47479,0.88245,3.40921e-05,3.40921e-05,3.40921e-05
